157,1964-02-15,1963,1. FC Kaiserslautern,TSV 1860 Munchen,2-1,2,1,1,1,H
158,1964-02-15,1963,Eintracht Braunschweig,Frankfurter SG Eintracht,0-3,0,3,1,1,A
159,1964-02-15,1963,VfB Stuttgart,Preussen Munster,0-3,0,3,1,1,A
160,1964-02-15,1963,Meidericher SV,Werder Bremen,1-0,1,0,1,1,H
161,1964-02-22,1963,Werder Bremen,1. FC Koln,1-1,1,1,1,1,D
162,1964-02-22,1963,Preussen Munster,1. FC Kaiserslautern,1-0,1,0,1,1,H
163,1964-02-22,1963,Hertha BSC,Hamburger SV,1-2,1,2,1,1,A
164,1964-02-22,1963,Karlsruher SC,1. FC Nurnberg,1-3,1,3,1,1,A
165,1964-02-22,1963,FC Schalke 04,Eintracht Braunschweig,2-0,2,0,1,1,H
166,1964-02-22,1963,Frankfurter SG Eintracht,Borussia Dortmund,2-1,2,1,1,1,H
167,1964-02-22,1963,1. FC Saarbrucken,VfB Stuttgart,0-1,0,1,1,1,A
169,1964-02-29,1963,1. FC Koln,Frankfurter SG Eintracht,1-1,1,1,1,1,D
170,1964-02-29,1963,1. FC Nurnberg,TSV 1860 Munchen,2-2,2,2,1,1,D
171,1964-02-29,1963,VfB Stuttgart,Karlsruher SC,4-1,4,1,1,1,H
172,1964-02-29,1963,Meidericher SV,FC Schalke 04,3-0,3,0,1,1,H
173,1964-02-29,1963,Borussia Dortmund,Preussen Munster,0-0,0,0,1,1,D
174,1964-02-29,1963,1. FC Kaiserslautern,1. FC Saarbrucken,2-4,2,4,1,1,A
177,1964-03-07,1963,TSV 1860 Munchen,Hamburger SV,9-2,9,2,1,1,H
178,1964-03-07,1963,Preussen Munster,1. FC Koln,0-2,0,2,1,1,A
179,1964-03-07,1963,FC Schalke 04,1. FC Nurnberg,4-1,4,1,1,1,H
180,1964-03-07,1963,Frankfurter SG Eintracht,VfB Stuttgart,3-2,3,2,1,1,H
181,1964-03-07,1963,Hertha BSC,Borussia Dortmund,0-0,0,0,1,1,D
182,1964-03-07,1963,1. FC Saarbrucken,Meidericher SV,0-2,0,2,1,1,A
183,1964-03-07,1963,Karlsruher SC,1. FC Kaiserslautern,5-1,5,1,1,1,H
184,1964-03-07,1963,Werder Bremen,Eintracht Braunschweig,2-3,2,3,1,1,A
185,1964-03-14,1963,Borussia Dortmund,VfB Stuttgart,7-1,7,1,1,1,H
186,1964-03-14,1963,Werder Bremen,FC Schalke 04,1-0,1,0,1,1,H
187,1964-03-14,1963,Eintracht Braunschweig,Hamburger SV,2-1,2,1,1,1,H
188,1964-03-14,1963,Meidericher SV,1. FC Koln,2-2,2,2,1,1,D
189,1964-03-14,1963,1. FC Kaiserslautern,1. FC Nurnberg,3-1,3,1,1,1,H
190,1964-03-14,1963,TSV 1860 Munchen,Preussen Munster,3-1,3,1,1,1,H
191,1964-03-14,1963,Frankfurter SG Eintracht,Hertha BSC,4-0,4,0,1,1,H
192,1964-03-14,1963,Karlsruher SC,1. FC Saarbrucken,2-2,2,2,1,1,D
193,1964-03-21,1963,1. FC Koln,Eintracht Braunschweig,4-1,4,1,1,1,H
194,1964-03-21,1963,VfB Stuttgart,1. FC Kaiserslautern,4-0,4,0,1,1,H
195,1964-03-21,1963,Hamburger SV,Meidericher SV,3-3,3,3,1,1,D
196,1964-03-21,1963,FC Schalke 04,Frankfurter SG Eintracht,1-2,1,2,1,1,A
197,1964-03-21,1963,1. FC Saarbrucken,TSV 1860 Munchen,1-2,1,2,1,1,A
198,1964-03-21,1963,Preussen Munster,Karlsruher SC,0-0,0,0,1,1,D
199,1964-03-21,1963,1. FC Nurnberg,Borussia Dortmund,4-0,4,0,1,1,H
149,1964-03-26,1963,TSV 1860 Munchen,VfB Stuttgart,1-1,1,1,1,1,D
175,1964-03-26,1963,Hamburger SV,Werder Bremen,1-1,1,1,1,1,D
150,1964-03-27,1963,Hertha BSC,Meidericher SV,5-2,5,2,1,1,H
151,1964-03-30,1963,1. FC Saarbrucken,Borussia Dortmund,2-1,2,1,1,1,H
152,1964-03-30,1963,Frankfurter SG Eintracht,Hamburger SV,2-2,2,2,1,1,D
176,1964-03-30,1963,Eintracht Braunschweig,Hertha BSC,1-1,1,1,1,1,D
168,1964-03-31,1963,TSV 1860 Munchen,Meidericher SV,0-0,0,0,1,1,D
201,1964-04-04,1963,Hamburger SV,1. FC Koln,1-1,1,1,1,1,D
202,1964-04-04,1963,Meidericher SV,Eintracht Braunschweig,5-1,5,1,1,1,H
203,1964-04-04,1963,Preussen Munster,1. FC Saarbrucken,2-1,2,1,1,1,H
204,1964-04-04,1963,1. FC Kaiserslautern,Borussia Dortmund,0-1,0,1,1,1,A
205,1964-04-04,1963,Karlsruher SC,TSV 1860 Munchen,1-0,1,0,1,1,H
206,1964-04-04,1963,Hertha BSC,FC Schalke 04,1-0,1,0,1,1,H
207,1964-04-04,1963,1. FC Nurnberg,VfB Stuttgart,0-0,0,0,1,1,D
208,1964-04-04,1963,Frankfurter SG Eintracht,Werder Bremen,7-0,7,0,1,1,H
209,1964-04-11,1963,1. FC Koln,1. FC Nurnberg,5-0,5,0,1,1,H
210,1964-04-11,1963,VfB Stuttgart,Hamburger SV,2-2,2,2,1,1,D
211,1964-04-11,1963,Borussia Dortmund,Meidericher SV,0-0,0,0,1,1,D
212,1964-04-11,1963,TSV 1860 Munchen,Frankfurter SG Eintracht,1-1,1,1,1,1,D
213,1964-04-11,1963,FC Schalke 04,Preussen Munster,1-2,1,2,1,1,A
214,1964-04-11,1963,Eintracht Braunschweig,1. FC Kaiserslautern,0-1,0,1,1,1,A
215,1964-04-11,1963,1. FC Saarbrucken,Hertha BSC,3-0,3,0,1,1,H
216,1964-04-11,1963,Werder Bremen,Karlsruher SC,0-0,0,0,1,1,D
200,1964-04-15,1963,Hertha BSC,Werder Bremen,5-2,5,2,1,1,H
217,1964-04-18,1963,1. FC Koln,Borussia Dortmund,5-2,5,2,1,1,H
218,1964-04-18,1963,Meidericher SV,1. FC Nurnberg,0-0,0,0,1,1,D
219,1964-04-18,1963,Eintracht Braunschweig,VfB Stuttgart,2-0,2,0,1,1,H
220,1964-04-18,1963,Karlsruher SC,Hertha BSC,1-1,1,1,1,1,D
221,1964-04-18,1963,TSV 1860 Munchen,FC Schalke 04,7-1,7,1,1,1,H
222,1964-04-18,1963,Hamburger SV,1. FC Kaiserslautern,7-3,7,3,1,1,H
223,1964-04-18,1963,1. FC Saarbrucken,Werder Bremen,3-2,3,2,1,1,H
224,1964-04-18,1963,Preussen Munster,Frankfurter SG Eintracht,1-3,1,3,1,1,A
225,1964-04-25,1963,VfB Stuttgart,Meidericher SV,1-2,1,2,1,1,A
226,1964-04-25,1963,1. FC Kaiserslautern,1. FC Koln,3-3,3,3,1,1,D
227,1964-04-25,1963,Frankfurter SG Eintracht,1. FC Saarbrucken,3-1,3,1,1,1,H
228,1964-04-25,1963,Hertha BSC,TSV 1860 Munchen,3-1,3,1,1,1,H
229,1964-04-25,1963,1. FC Nurnberg,Eintracht Braunschweig,1-0,1,0,1,1,H
230,1964-04-25,1963,Werder Bremen,Preussen Munster,4-2,4,2,1,1,H
231,1964-04-25,1963,FC Schalke 04,Karlsruher SC,2-1,2,1,1,1,H
232,1964-05-05,1963,Borussia Dortmund,Hamburger SV,5-2,5,2,1,1,H
233,1964-05-09,1963,1. FC Koln,VfB Stuttgart,2-1,2,1,1,1,H
234,1964-05-09,1963,Hamburger SV,1. FC Nurnberg,2-2,2,2,1,1,D
235,1964-05-09,1963,Eintracht Braunschweig,Borussia Dortmund,2-0,2,0,1,1,H
236,1964-05-09,1963,Karlsruher SC,Frankfurter SG Eintracht,1-2,1,2,1,1,A
237,1964-05-09,1963,TSV 1860 Munchen,Werder Bremen,3-2,3,2,1,1,H
238,1964-05-09,1963,1. FC Saarbrucken,FC Schalke 04,1-1,1,1,1,1,D
239,1964-05-09,1963,Preussen Munster,Hertha BSC,4-2,4,2,1,1,H
240,1964-05-09,1963,Meidericher SV,1. FC Kaiserslautern,3-0,3,0,1,1,H
241,1964-08-22,1964,Frankfurter SG Eintracht,FC Schalke 04,2-2,2,2,1,1,D
242,1964-08-22,1964,1. FC Kaiserslautern,Werder Bremen,2-1,2,1,1,1,H
